team,conf
South Alabama,SB
Utah St.,WAC
South Florida,BE
Pepperdine,WCC
Pacific,BW
Butler,Horz
Longwood,ind
Fordham,A10
Wagner,NEC
Pittsburgh,BE
Connecticut,BE
North Carolina St.,ACC
Chicago St.,ind
LSU,SEC
Boston University,AE
Detroit,Horz
Albany,AE
Manhattan,MAAC
Navy,Pat
Saint Mary's,WCC
Alabama A&M,SWAC
Hofstra,CAA
James Madison,CAA
Missouri St.,MVC
Alabama,SEC
Boston College,ACC
Drexel,CAA
Binghamton,AE
Bowling Green,MAC
Maryland,ACC
Colorado,B12
Southern Miss,CUSA
Old Dominion,CAA
Cal St. Fullerton,BW
Oregon St.,P10
St. Francis PA,NEC
Southern Illinois,MVC
Loyola Chicago,Horz
Indiana,B10
Hawaii,WAC
Elon,SC
Holy Cross,Pat
Vanderbilt,SEC
VCU,CAA
Monmouth,NEC
North Carolina A&T,MEAC
Lamar,Slnd
Howard,MEAC
Furman,SC
George Mason,CAA
Louisiana Lafayette,SB
Marquette,BE
Central Connecticut,NEC
Providence,BE
Princeton,Ivy
Virginia,ACC
Georgia St.,CAA
UAB,CUSA
Florida St.,ACC
Duke,ACC
Purdue,B10
New Orleans,SB
Notre Dame,BE
Wofford,SC
California,P10
Arizona,P10
UTEP,CUSA
Centenary,Sum
Appalachian St.,SC
Brown,Ivy
Illinois Chicago,Horz
Bucknell,Pat
Long Beach St.,BW
Richmond,A10
Seton Hall,BE
Auburn,SEC
Stetson,ASun
Wake Forest,ACC
Illinois St.,MVC
Florida Atlantic,SB
Texas Southern,SWAC
San Diego St.,MWC
Clemson,ACC
Oklahoma St.,B12
Nevada,WAC
Xavier,A10
Michigan,B10
Quinnipiac,NEC
Eastern Michigan,MAC
Belmont,ASun
McNeese St.,Slnd
IPFW,Sum
Ohio,MAC
San Jose St.,WAC
TCU,MWC
Jackson St.,SWAC
Milwaukee,Horz
FIU,SB
Cornell,Ivy
Weber St.,BSky
Gonzaga,WCC
Portland St.,BSky
Lehigh,Pat
Austin Peay,OVC
Eastern Illinois,OVC
Liberty,BSth
Western Kentucky,SB
Idaho St.,BSky
Western Michigan,MAC
Missouri,B12
North Texas,SB
Siena,MAAC
Army,Pat
DePaul,BE
Louisville,BE
Miami FL,ACC
Washington St.,P10
Wisconsin,B10
Arkansas St.,SB
Arkansas,SEC
UCF,CUSA
Mississippi,SEC
Fresno St.,WAC
Prairie View A&M,SWAC
Samford,SC
Bradley,MVC
Gardner Webb,BSth
Southern Utah,Sum
Houston,CUSA
Virginia Tech,ACC
Mercer,ASun
Winthrop,BSth
Lipscomb,ASun
Delaware,CAA
Villanova,BE
Towson,CAA
Georgetown,BE
Arkansas Pine Bluff,SWAC
Baylor,B12
Jacksonville,ASun
Air Force,MWC
Kansas,B12
Creighton,MVC
Dartmouth,Ivy
American,Pat
Green Bay,Horz
Northeastern,CAA
Florida A&M,MEAC
Northwestern St.,Slnd
Georgia Southern,SC
UCLA,P10
USC,P10
Akron,MAC
Loyola Marymount,WCC
Tulane,CUSA
Nebraska,B12
Delaware St.,MEAC
Nicholls St.,Slnd
Chattanooga,SC
Niagara,MAAC
Canisius,MAAC
Tulsa,CUSA
Michigan St.,B10
Penn St.,B10
St. John's,BE
Rhode Island,A10
William & Mary,CAA
Southeastern Louisiana,Slnd
Illinois,B10
North Carolina,ACC
San Francisco,WCC
Texas A&M,B12
Marist,MAAC
UMKC,Sum
Oklahoma,B12
Rice,CUSA
Montana,BSky
Eastern Kentucky,OVC
UC Irvine,BW
UC Davis,BW
Northern Iowa,MVC
Evansville,MVC
Drake,MVC
Idaho,WAC
Massachusetts,A10
Troy,SB
George Washington,A10
Sacred Heart,NEC
Robert Morris,NEC
High Point,BSth
Radford,BSth
Fairfield,MAAC
Stephen F. Austin,Slnd
South Carolina,SEC
San Diego,WCC
St. Bonaventure,A10
Saint Joseph's,A10
Texas Tech,B12
Charlotte,A10
Arkansas Little Rock,SB
Bethune Cookman,MEAC
Yale,Ivy
Penn,Ivy
Grambling St.,SWAC
Saint Peter's,MAAC
Stony Brook,AE
Norfolk St.,MEAC
Texas,B12
Memphis,CUSA
Miami OH,MAC
Alabama St.,SWAC
Buffalo,MAC
Santa Clara,WCC
Iona,MAAC
New Mexico St.,WAC
Northern Arizona,BSky
Arizona St.,P10
Northern Colorado,BSky
Davidson,SC
Duquesne,A10
Sam Houston St.,Slnd
Tennessee,SEC
Louisiana Monroe,SB
Florida,SEC
Minnesota,B10
Wright St.,Horz
Central Michigan,MAC
South Carolina St.,MEAC
Mount St. Mary's,NEC
IUPUI,Sum
Indiana St.,MVC
Cincinnati,BE
La Salle,A10
East Tennessee St.,ASun
Campbell,ASun
Coastal Carolina,BSth
Tennessee Martin,OVC
Charleston Southern,BSth
Syracuse,BE
UC Riverside,BW
Dayton,A10
East Carolina,CUSA
Iowa St.,B12
Columbia,Ivy
Temple,A10
Loyola MD,MAAC
Northwestern,B10
Oregon,P10
UTSA,Slnd
Colgate,Pat
Oakland,Sum
Montana St.,BSky
Morgan St.,MEAC
UT Rio Grande Valley,ind
Portland,WCC
Kentucky,SEC
Utah,MWC
Western Carolina,SC
Wyoming,MWC
Rutgers,BE
Cleveland St.,Horz
VMI,BSth
Texas St.,Slnd
Alcorn St.,SWAC
Georgia,SEC
Maryland Eastern Shore,MEAC
Iowa,B10
Eastern Washington,BSky
Boise St.,WAC
Stanford,P10
Mississippi Valley St.,SWAC
Ohio St.,B10
College of Charleston,SC
Rider,MAAC
Kent St.,MAC
UT Arlington,Slnd
UMBC,AE
Lafayette,Pat
UNC Asheville,BSth
SMU,CUSA
Morehead St.,OVC
Tennessee St.,OVC
The Citadel,SC
Marshall,CUSA
UNC Wilmington,CAA
Southern,SWAC
Kansas St.,B12
Cal St. Northridge,BW
Cal Poly,BW
Middle Tennessee,SB
Vermont,AE
Colorado St.,MWC
Savannah St.,ind
Maine,AE
Coppin St.,MEAC
Sacramento St.,BSky
Hampton,MEAC
LIU Brooklyn,NEC
Jacksonville St.,OVC
St. Francis NY,NEC
Harvard,Ivy
Valparaiso,Horz
Youngstown St.,Horz
Georgia Tech,ACC
BYU,MWC
Louisiana Tech,WAC
West Virginia,BE
New Hampshire,AE
Oral Roberts,Sum
Washington,P10
UC Santa Barbara,BW
UNC Greensboro,SC
Mississippi St.,SEC
Hartford,AE
Tennessee Tech,OVC
Murray St.,OVC
UNLV,MWC
New Mexico,MWC
Ball St.,MAC
Toledo,MAC
Texas A&M Corpus Chris,Slnd
Denver,SB
Saint Louis,A10
Wichita St.,MVC
Fairleigh Dickinson,NEC
Southeast Missouri St.,OVC
Northern Illinois,MAC
Western Illinois,Sum
South Dakota St.,Sum
North Dakota St.,Sum
Kennesaw St.,ASun
North Carolina Central,ind
USC Upstate,ASun
Bryant,ind
Presbyterian,BSth
SIU Edwardsville,ind
Cal St. Bakersfield,ind
NJIT,ind
Houston Baptist,ind
Central Arkansas,Slnd
Utah Valley,ind
North Florida,ASun
Winston Salem St.,ind
Florida Gulf Coast,ASun
Seattle,ind
South Dakota,GWC
North Dakota,GWC
Nebraska Omaha,ind
Northern Kentucky,ASun
Incarnate Word,Slnd
Grand Canyon,WAC
UMass Lowell,AE
Abilene Christian,Slnd
